cin,cout,title,deweyClass
"2010-08-05 12:26:00","2010-06-30 13:17:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-08-12 13:23:00","2010-06-10 13:21:00","IT essentials II Network operating system companion guide",004.6
"2010-08-15 16:14:00","2010-07-20 11:43:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-09-18 14:54:00","2010-06-26 11:35:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-09-29 19:20:00","2010-09-15 14:06:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-10-02 16:40:00","2010-09-25 15:31:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-10-04 11:14:00","2010-06-10 13:21:00","IT essentials II Network operating system companion guide",004.6
"2010-10-06 17:53:00","2010-08-05 12:24:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-10-20 16:34:00","2010-09-24 16:17:00","UNIX for people a modular guide to the UNIX operating system visual editing document preparation other resources",001.642
"2010-10-21 11:09:00","2010-09-24 16:17:00","UNIX for people a modular guide to the UNIX operating system visual editing document preparation other resources",001.642
"2010-10-30 16:34:00","2010-09-18 15:00:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-11-04 11:28:00","2010-10-14 13:30:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-11-14 14:22:00","2010-09-18 15:00:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-11-16 17:06:00","2010-09-18 15:00:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-12-01 18:41:00","2010-11-17 16:27:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-12-08 19:08:00","2010-10-06 13:16:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2010-12-30 19:47:00","2010-12-10 15:52:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2011-02-07 14:08:00","2011-01-22 14:55:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2011-03-22 15:28:00","2011-03-01 14:42:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2011-04-15 16:55:00","2011-03-28 12:45:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2011-04-26 19:22:00","2011-03-30 19:08:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2011-05-06 11:42:00","2010-11-13 17:43:00","UNIX for people a modular guide to the UNIX operating system visual editing document preparation other resources",001.642
"2011-05-31 16:48:00","2011-03-01 14:42:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2011-06-01 10:51:00","2011-03-01 14:42:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2011-07-02 15:51:00","2011-05-10 14:41:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2011-07-26 16:18:00","2011-07-08 16:36:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2011-08-04 10:07:00","2011-07-08 16:36:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2011-08-18 16:24:00","2011-08-11 15:53:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2011-09-16 15:26:00","2011-09-14 18:14:00","IT essentials II Network operating system companion guide",004.6
"2011-09-21 17:36:00","2011-08-04 15:28:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
"2011-10-17 12:23:00","2011-10-13 12:23:00","Ubuntu Linux desktop your visual blueprint to using the Linux operating system",005.432
