Elements,Times,Dates,Counts,Titles
Wood,16:23:00,2008-03-26,4,"art and ingenuity of the woodstove"
Wood,18:06:00,2007-05-02,61,"Art from wood with projects using branches leaves and seeds"
Water,17:15:00,2008-07-28,86,"Art in America"
wood,14:24:00,2006-02-13,38,"Art of Japan wood block color prints"
wood,14:36:00,2006-03-18,13,"art of making fine wood jewelry"
wood,14:41:00,2005-12-10,33,"art of making small wood boxes award winning designs"
water,12:59:00,2005-10-29,37,"art of photographing water rivers lakes waterfalls streams and seashores"
Wood,13:21:00,2005-09-21,26,"art of stylized wood carving"
Wood,00:00:00,2003-05-21,3,"art of the decoy American bird carvings"
Gold,13:09:00,2008-02-16,4,"Art of the gold rush"
Wood,16:38:00,2005-10-22,16,"art of whittling and woodcarving"
water,00:00:00,2005-02-02,5,"art of William Blake his sketch book his water colours his painted books"
wood,14:00:00,2010-06-05,60,"art of wood fired cooking"
Wood,11:45:00,2006-06-06,7,"art of woodcarving"
fire,14:30:00,2006-01-24,8,"Art on fire the politics of race and sex in the paintings of Faith Ringgold"
water,00:00:00,2004-07-24,5,"Art work how produced how reproduced the making and the reproduction of drawings water colors oil paintings monotypes block prints lithographs etchings etc"
Water,10:03:00,2010-10-22,2,"Arthur Young guide to water and wastewater finance and pricing"
Fire,12:19:00,2006-07-06,491,"Arthurs fire drill"
fire,14:01:00,2009-04-21,147,"Artificial fire"
Water,14:56:00,2005-10-10,31,"Artificial rock waterfalls rock making techniques for the professional and the hobbyist"
Wood,13:18:00,2005-10-04,5,"Artist in Iowa a life of Grant Wood"
wood,00:00:00,2004-10-11,3,"Artistic and decorative stencilling a practical manual on the art of stencilling on paper wood and textile fabrics for home adornment and articles of dress"
Wood,11:26:00,2008-05-01,8,"artistic revival of the woodcut in France 1850 1900"
Wood,19:26:00,2009-01-27,3,"Artists in wood American carvers of cigar store Indians show figures and circus wagons"
Water,15:12:00,2006-03-01,33,"Artists photo reference Water skies"
Gold,14:13:00,2008-11-24,15,"As big as the West the pioneer life of Granville Stuart"
fire,16:24:00,2008-06-30,2,"As towns with fire"
Gold,19:48:00,2005-05-31,8,"Asante the Gold Coast"
Gold,11:07:00,2012-05-11,1,"Ashanti heroes"
fire,11:27:00,2011-10-22,651,"Ashes fire"
Fire,19:57:00,2006-08-02,51,"Ashes of roses"
