title,Dewey,Counts,Average,Standard Dev,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Spoon fed how eight cooks saved my life,0.5,713,57.33333333,125.891247,0,0,0,0,435,146,41,34,17,10,3,2
Make it ahead a barefoot contessa cookbook,0.555,711,59.25,112.237674,0,0,0,0,0,0,0,0,74,374,151,112
Martha Stewarts cookies the very best treats to bake and share,0.8654,710,58.75,79.88870099,0,0,250,184,100,42,15,10,43,28,17,16
Grub ideas for an urban organic kitchen,0.302,707,58.08333333,75.97901425,125,129,222,132,69,15,5,0,0,0,0,0
Vegan Soul kitchen fresh healthy and creative African American cuisine,0.5636,705,58.25,71.51620922,0,0,0,187,215,75,62,58,38,31,17,16
new Moosewood cookbook,0.5636,705,58.25,39.79292993,72,84,114,108,112,72,19,32,34,22,11,19
Jam it pickle it cure it and other cooking projects,0.5,704,57.41666667,85.39582525,0,0,0,190,260,107,49,37,25,14,6,1
Into the Vietnamese kitchen treasured foodways modern flavors,0.59597,703,58,42.21589533,16,123,114,100,98,81,34,47,36,20,13,14
kitchen diaries a year in the kitchen with Nigel Slater,0.5,699,57.58333333,50.8714214,7,178,102,93,68,89,48,36,25,19,12,14
My Paris kitchen recipes and stories,0.5944,694,57.83333333,90.32550564,0,0,0,0,0,0,0,0,213,226,149,106
How to cook a wolf,0.5973,689,57.08333333,47.91366921,13,21,136,159,97,49,50,50,31,33,28,18
BakeWise the hows and whys of successful baking with over 200 magnificent recipes,0.815,686,56.08333333,105.6679691,0,0,30,367,143,50,34,24,14,10,1,0
Everyday food great food fast,0.555,684,55.66666667,72.10514209,0,159,206,125,75,70,19,12,2,0,0,0
Tartine bread,0.815,683,55.16666667,64.9486977,0,0,0,0,47,234,71,63,93,65,52,37
Good to the grain baking with whole grain flours,0.631,682,56,88.47187535,0,0,0,0,256,222,74,43,25,21,20,11
Molto Italiano 327 simple italian recipes to cook at home,0.5945,680,56.16666667,52.40200089,150,106,104,104,96,49,28,11,7,5,7,7
How to pick a peach the search for flavor from farm to table,0.35,676,55.33333333,87.68262327,0,133,297,105,54,28,21,11,11,1,1,2
Hot sour salty sweet culinary travels along the River Khong,0.50959,675,54.75,28.83850015,82,43,66,121,68,72,22,24,47,50,36,26
gluten free vegan 150 delicious gluten free animal free recipes,0.5638,675,55.91666667,57.57281292,0,0,59,164,139,125,49,67,38,14,8,8
Mangoes curry leaves culinary travels through the great subcontinent,0.595,674,54.91666667,55.43785765,182,55,118,116,41,57,21,22,18,12,9,8
Williams Sonoma essentials of slow cooking delicious new recipes for slow cookers and braisers,0.5884,673,55.5,82.84103068,0,0,0,254,185,96,45,40,25,14,7,0
Vegetarian suppers from Deborah Madisons kitchen,0.5636,672,54.91666667,62.52338956,155,106,144,113,89,50,2,0,0,0,0,0
Asian dumplings mastering gyoza spring rolls samosas and more,0.595,670,55,71.2690166,0,0,0,60,262,99,50,42,53,34,37,23
best of Americas test kitchen Best weeknight recipes,0.5,669,54.5,64.11140871,0,0,84,202,133,101,50,35,34,15,0,0
Dont panic dinners in the freezer great tasting meals you can make ahead,0.555,665,55,49.97090062,5,147,119,97,101,72,18,41,28,14,13,5
Paleo slow cooker healthy gluten free meals the easy way,0.5638,663,55.25,77.58177504,0,0,0,0,0,0,0,172,206,143,83,59
Bouchon,0.5944,661,54.5,41.60091782,63,88,97,100,130,64,30,28,19,20,9,6
Pure flavor 125 fresh all American recipes from the Pacific Northwest,0.59795,660,54.25,54.18507846,0,94,184,103,92,55,30,23,12,27,20,11
Raw food made easy for 1 or 2 people,0.563,659,54,73.25670928,0,51,197,172,126,83,16,3,0,0,0,0
Ethan Stowells new Italian kitchen bold cooking from Seattles Anchovies Olives how to Cook a Wolf Staple Fancy Mercantile and TavolÃ¢Â€Â¦ta,0.5945,659,53.66666667,69.29952556,0,0,0,0,152,218,88,71,43,37,26,9
Cook this not that kitchen survival guide the no diet weight loss solution,0.5635,659,52.66666667,92.81000469,0,0,0,0,315,140,78,49,21,10,11,8
Jamies dinners,0.5,658,54.16666667,47.21870456,106,90,150,75,89,53,20,25,14,13,12,3
new best recipe,0.5,656,54.25,49.16414991,94,111,120,105,110,47,22,20,6,3,6,7
Hungry Girl recipes and survival strategies for guilt free eating in the real world,0.5635,655,53.66666667,88.1644469,0,0,225,240,96,45,21,6,11,0,0,0
Genius recipes 100 recipes that will change the way you cook,0.5,654,54.5,104.652238,0,0,0,0,0,0,0,0,0,296,226,132
oh she glows cookbook over 100 vegan recipes to glow from the inside out,0.5636,653,54.41666667,81.56810688,0,0,0,0,0,0,0,0,168,186,174,125
Hungry girl 200 under 200 200 recipes under 200 calories,0.5635,652,53.25,90.16361391,0,0,0,305,143,80,46,33,11,15,5,1
How to cook everything the basics simple recipes anyone can cook,0.5,652,53.33333333,51.47520733,41,80,142,153,91,37,28,24,16,16,10,2
Love soup 160 all new vegetarian recipes from the author of The vegetarian epicure,0.5636,648,52.41666667,71.77548117,0,0,0,71,255,108,57,45,37,29,19,8
4 hour chef the simple path to cooking like a pro learning anything and living the good life,0.5,647,53.91666667,81.89844968,0,0,0,0,0,0,0,266,130,86,83,82
Kids fun healthy cookbook,0.5123,647,53.33333333,33.73245897,0,48,127,92,65,75,57,44,43,42,24,23
My last supper 50 great chefs and their final meals portraits interviews and recipes,0.50922,645,53.16666667,78.88292053,0,36,264,128,110,46,23,11,4,9,5,2
Forks over knives the cookbook over 300 recipes for plant based eating all through the year,0.5636,644,53.66666667,67.67345838,0,0,0,0,0,0,84,206,140,89,70,55
Thug Kitchen eat like you give a fuck,0.5636,642,53.5,94.48761343,0,0,0,0,0,0,0,0,36,269,201,136
Americas test kitchen Season nine,0.5,639,52.41666667,75.1404241,0,0,0,35,266,119,54,50,46,27,25,7
Practical paleo a customized approach to health and a whole foods lifestyle,0.5638,637,53.08333333,84.82758807,0,0,0,0,0,0,38,220,221,109,49,0
gourmet slow cooker simple and sophisticated meals from around the world,0.821,637,52.16666667,46.68040923,72,86,104,103,135,52,32,23,9,7,3,0
herbal kitchen cooking with fragrance and flavor,0.657,633,52.08333333,45.71941766,149,90,80,84,88,53,21,14,17,14,7,8
Julia and Jacques cooking at home,0.5944,633,52.25,45.44152086,74,53,56,160,109,46,53,33,19,10,7,7
