Elements,Times,Dates,Deweys,Titles
"New York N Y Fire Dept",15:42:00,2006-02-08,363,"Strong of heart life and death in the fire department of New York"
"New York N Y Fire Dept Pictorial works",15:42:00,2006-02-08,363,"New Yorks bravest eight decades of photographs from the Daily news"
"Hot water heating",16:36:00,2006-02-08,697,"Modern hydronic heating for residential and light commercial buildings"
"Great Fire Seattle Wash 1889",16:47:00,2006-02-08,979,"great Seattle fire of June 6th 1889 containing a succinct and complete account of the greatest conflagration on the Pacific Coast"
"Landscape gardening Water conservation Northwest Pacific",16:51:00,2006-02-08,635,"Beautiful and waterwise gardening for the Pacific Northwest"
"Klondike River Valley Yukon Gold discoveries",18:57:00,2006-02-08,979,"Hard drive to the Klondike promoting Seattle during the Gold Rush"
"Klondike Gold Rush National Historical Park Alaska and Wash History",18:57:00,2006-02-08,979,"Hard drive to the Klondike promoting Seattle during the Gold Rush"
"San Francisco Earthquake and Fire Calif 1906",13:06:00,2006-02-09,363,"San Francisco is burning the untold story of the 1906 earthquake and fires"
"San Francisco Earthquake and Fire Calif 1906",13:35:00,2006-02-09,979,"crack in the edge of the world America and the great California earthquake of 1906"
"Vegetable gardening Water conservation Northwest Coast of North America",14:49:00,2006-02-09,635,"Water wise vegetables for the maritime Northwest gardener"
"Klondike River Valley Yukon Gold discoveries Poetry",16:11:00,2006-02-09,811,"spell of the Yukon"
"Irrigation water Australia",16:30:00,2006-02-09,631,"Water for every farm Yeomans keyline plan"
"Irrigation water Australia",09:16:00,2006-02-10,631,"Water for every farm Yeomans keyline plan"
"San Francisco Earthquake and Fire Calif 1906",16:08:00,2006-02-10,979,"crack in the edge of the world America and the great California earthquake of 1906"
"Drinking water Contamination Massachusetts Woburn",17:31:00,2006-02-10,346,"civil action"
"Liability for water pollution damages Massachusetts Woburn",17:31:00,2006-02-10,346,"civil action"
"New York N Y Fire Dept",10:35:00,2006-02-11,363,Firehouse
"Stoves Wood Design and construction",10:35:00,2006-02-11,643,"Building a wood fired oven for bread and pizza"
"San Francisco Earthquake and Fire Calif 1906",11:01:00,2006-02-11,979,"crack in the edge of the world America and the great California earthquake of 1906"
"San Francisco Earthquake and Fire Calif 1906",12:00:00,2006-02-11,979,"crack in the edge of the world America and the great California earthquake of 1906"
"Triangle Shirtwaist Company Fire 1911",12:30:00,2006-02-11,974,"Triangle the fire that changed America"
"Hopi wood carving",12:38:00,2006-02-11,745,"Hopi Indian Kachina dolls"
"San Francisco Earthquake and Fire Calif 1906",14:12:00,2006-02-11,979,"crack in the edge of the world America and the great California earthquake of 1906"
"New York N Y Fire Dept",15:12:00,2006-02-11,974,"7 days in September"
"San Francisco Earthquake and Fire Calif 1906",15:20:00,2006-02-11,979,"crack in the edge of the world America and the great California earthquake of 1906"
"Drinking water Health aspects",18:00:00,2006-02-11,615,"Water the ultimate cure"
"Trinity Lutheran Church Lynnwood Wash Fire 1992",13:23:00,2006-02-12,234,"Fire of grace the healing power of forgiveness"
"San Francisco Earthquake and Fire Calif 1906",14:08:00,2006-02-12,979,"crack in the edge of the world America and the great California earthquake of 1906"
"San Francisco Earthquake and Fire Calif 1906",13:10:00,2006-02-13,979,"crack in the edge of the world America and the great California earthquake of 1906"
"San Francisco Earthquake and Fire Calif 1906",16:02:00,2006-02-13,979,"crack in the edge of the world America and the great California earthquake of 1906"
"Klondike Gold Rush National Historical Park Alaska and Wash",18:06:00,2006-02-13,917,"great parks of Alaska"
"San Francisco Earthquake and Fire Calif 1906",15:45:00,2006-02-14,979,"crack in the edge of the world America and the great California earthquake of 1906"
"Klondike Gold Rush National Historical Park Alaska and Wash",17:09:00,2006-02-14,917,"great parks of Alaska"
"Indian wood carving Northwest Coast of North America",17:30:00,2006-02-14,730,"Northwest carving traditions"
"Stoves Wood Models",19:09:00,2006-02-14,745,"Dolls house fireplaces stoves"
"San Francisco Earthquake and Fire Calif 1906",11:11:00,2006-02-15,979,"crack in the edge of the world America and the great California earthquake of 1906"
"California Gold discoveries Juvenile films",12:18:00,2006-02-15,398,"Darlin Clementine"
"California Gold discoveries Juvenile literature",14:03:00,2006-02-15,979,"California gold rush"
"California Gold discoveries Juvenile literature",14:03:00,2006-02-15,979,"California Gold Rush"
"California Gold discoveries",14:03:00,2006-02-15,979,"California Gold Rush"
"California Gold discoveries Sources Juvenile literature",14:03:00,2006-02-15,979,"gold rush a primary source history of the search for gold in California"
"California Gold discoveries Sources",14:03:00,2006-02-15,979,"gold rush a primary source history of the search for gold in California"
"California Gold discoveries Juvenile literature",14:03:00,2006-02-15,979,"California gold rush west with the Forty Niners"
"California Gold discoveries",14:03:00,2006-02-15,979,"California gold rush west with the Forty Niners"
"California Gold discoveries Juvenile films",15:35:00,2006-02-15,398,"Darlin Clementine"
"Landscape gardening Water conservation Northwest Pacific",16:47:00,2006-02-15,635,"Beautiful and waterwise gardening for the Pacific Northwest"
"Kwakiutl wood carving",17:11:00,2006-02-15,745,"Wooden box made by steaming and bending Kwakiutl Indians of British Columbia"
"Indian wood carving British Columbia",17:11:00,2006-02-15,745,"Wooden box made by steaming and bending Kwakiutl Indians of British Columbia"
"Columbia River Water rights",17:33:00,2006-02-15,979,"Death of Celilo Falls"
"New York N Y Fire Dept",17:59:00,2006-02-15,974,"7 days in September"
